State,Municipality,Date,Variant
Mato Grosso do Sul,Campo Grande,2011-08,AgV3
Ceara,Tamboril,2013-01,AgV2* (Cerdocyon thous)
Rio Grande do Norte,Natal,2013-10,AgV2*(Cerdocyon thous)
Sergipe,Salgado,2014-08,AgV2* (Cerdocyon thous)
Sao Paulo,Ribeir o Preto,2014-10,AgV3
Sao Paulo,Ribeir o Preto,2014-10,AgV3
Ceara,Amontada,2015-06,AgV2* (Cerdocyon thous)
Rio Grande do Norte,Caicã,2015-05,AgV2* (Cerdocyon thous)?
Rio Grande do Norte,Caicã,2015-09,AgV2* (Cerdocyon thous)?
Rio Grande do Norte,S o Jos_ de Mipibu,2015-09,AgV2* (Cerdocyon thous)
Rio Grande do Norte,Senador Elãi de Souza,2015-10,AgV2* (Cerdocyon thous)
Rio Grande do Norte,Presidente Juscelino (Serra Caiada),2015-10,AgV2* (Cerdocyon thous)
Sao Paulo,Campinas,2015-11,AgV3
