Argentina,Belize,Bolivia,Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,Grenada,Guatemala,Honduras,Haiti,Mexico,Nicaragua,Panama,Peru,Paraguay,El Salvador,Trinidad and Tobago,Venezuela,French Guyana,Puerto Rico,yr
671,44,276,2913,12,9421,47,72,171,918,5,215,98,54,4557,154,20,1048,160,1,1,561,0,0,1970
646,5,247,455,17,9847,7,160,117,1215,3,137,66,144,7239,204,31,646,258,48,3,371,0,0,1971
773,0,536,405,5,3043,7,163,73,645,1,182,127,99,3078,169,6,310,227,86,0,266,0,0,1972
1364,0,509,289,9,2501,4,207,118,178,2,283,229,86,2604,189,4,442,286,62,0,281,0,0,1973
1277,0,173,594,3,2665,25,105,80,434,0,214,165,31,3221,123,0,760,204,48,0,452,0,0,1974
1871,3,158,525,2,2304,13,86,178,1279,1,79,82,8,3771,40,0,682,205,38,0,445,0,0,1975
4811,10,86,4735,4,1577,25,45,140,198,5,79,72,2,3937,68,0,407,208,57,1,325,0,0,1976
2334,2,280,5231,11,2117,11,45,86,927,2,201,129,2,11705,270,0,595,206,68,0,502,0,0,1977
1115,0,501,1414,4,3051,0,43,55,345,5,472,156,0,14109,169,0,871,284,39,0,698,0,0,1978
1033,1,672,4510,2,2210,0,43,50,1342,0,310,225,64,11978,126,0,792,183,55,0,558,0,0,1979
550,7,718,4551,0,2043,2,26,82,2273,0,273,1410,64,9903,268,0,362,291,63,0,389,0,0,1980
469,3,1184,2850,6,5939,0,35,194,1515,5,354,227,61,2025,42,0,1452,187,119,0,2910,0,0,1981
160,0,593,2411,0,1726,0,26,99,1903,1,331,228,72,2127,79,0,1913,243,40,1,455,0,0,1982
95,2,1045,2250,0,0,0,16,138,1427,8,227,151,92,2455,67,0,2566,267,64,0,343,0,0,1983
95,0,776,1057,0,994,0,26,132,863,9,194,156,40,3633,62,0,840,201,43,0,153,0,0,1984
55,0,1704,389,0,717,0,15,228,516,1,346,117,55,1424,118,0,505,207,0,0,318,0,0,1985
18,0,550,157,0,320,0,12,82,174,0,200,103,14,5448,44,0,164,131,33,0,104,0,0,1986
42,41,2774,350,4,495,2,17,109,544,3,280,501,73,13262,110,0,313,260,144,0,76,0,0,1987
129,15,2399,315,1,440,0,14,72,930,6,456,529,45,12393,44,0,563,266,123,0,66,0,0,1988
37,11,1179,235,0,195,0,11,2,360,5,115,104,25,6084,17,0,249,51,15,0,45,0,0,1989
53,7,1052,834,2,249,0,32,7,808,6,97,316,85,11676,12,0,804,211,41,0,110,10,0,1990
34,0,1261,781,0,171,0,19,16,379,0,74,253,40,7391,5,0,425,207,76,0,79,0,0,1991
69,0,1495,568,0,86,0,35,46,648,0,60,269,50,1594,14,0,348,297,94,0,83,0,0,1992
91,0,1169,359,0,211,0,26,38,1002,2,277,453,50,1202,95,0,779,327,121,0,80,0,0,1993
43,0,483,672,3,45,0,26,41,652,29,200,405,32,1515,95,0,489,529,107,0,84,0,0,1994
15,4,362,641,0,83,0,25,14,736,0,92,112,21,1261,22,0,404,383,124,0,171,0,0,1995
8,7,230,1058,1,64,0,39,20,1199,0,248,68,17,1044,37,0,309,540,217,0,160,0,0,1996
6,22,347,945,1,144,0,34,36,323,5,225,46,38,1042,28,0,295,582,217,0,108,0,0,1997
4,0,195,1746,0,106,0,32,28,149,0,109,30,47,792,4,0,150,391,125,0,90,0,12,1998
15,0,135,970,0,110,0,40,36,103,0,133,4,58,634,2,0,76,386,25,0,95,0,11,1999
4,0,307,761,0,66,0,34,31,79,0,128,18,39,318,0,0,54,53,31,0,56,0,15,2000
2,1,362,657,0,34,0,30,39,75,0,121,16,14,146,1,0,37,27,96,0,83,0,13,2001
44,0,109,617,0,14,0,47,70,26,0,94,5,0,133,0,0,17,33,104,0,88,0,14,2002
157,0,71,289,0,10,0,53,26,12,0,102,8,3,130,0,0,8,6,207,0,106,0,9,2003
18,0,355,104,0,11,0,31,31,11,0,41,0,0,51,0,0,19,8,194,0,142,0,9,2004
29,0,885,93,0,4,0,16,38,2,0,50,0,4,125,0,0,8,5,119,0,76,0,4,2005
0,0,650,67,0,18,0,32,37,0,0,70,0,1,80,1,0,14,1,163,0,29,0,8,2006
0,0,349,74,1,3,0,47,39,0,0,75,0,6,50,0,0,0,0,69,0,16,0,9,2007
28,0,225,35,0,1,0,69,200,0,0,111,20,0,45,0,0,0,0,45,0,33,0,11,2008
6,0,228,40,0,0,0,38,119,0,0,101,24,0,15,0,0,0,1,19,0,28,0,4,2009
3,0,122,19,0,0,0,38,43,0,0,28,18,0,27,0,0,18,0,4,0,6,0,9,2010
0,0,253,69,0,0,0,38,99,0,0,18,29,0,25,2,0,16,3,2,0,5,0,0,2011
4,0,37,30,0,0,0,26,90,0,0,73,13,0,44,0,0,14,0,2,0,4,0,0,2012
2,0,0,33,0,0,0,27,79,0,0,0,12,0,13,0,0,8,0,1,0,11,0,0,2013
4,0,0,10,0,0,0,20,45,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,2014
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2015
