"Ano","Regiao","Sub_Regiao","Pais","Mes","GeoCodUnidMaior","UnidMaior","GeoCodUnidMenor","UnidMenor","Especie","Categoria","TotalCasos","TotalNaoConfirmados","CASO_VARIANTE","CASO_FILOGEN","CASO_CERTIFICACAO","CASO_DATA_CERTIFIC","CASO_LAB","matchcode"
1970,"América Latina","Cono Sur","Argentina",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",671,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1971,"América Latina","Cono Sur","Argentina",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",646,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1972,"América Latina","Cono Sur","Argentina",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",773,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1973,"América Latina","Cono Sur","Argentina",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",1364,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1974,"América Latina","Cono Sur","Argentina",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",1277,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1975,"América Latina","Cono Sur","Argentina",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",1871,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1976,"América Latina","Cono Sur","Argentina",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",4811,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1977,"América Latina","Cono Sur","Argentina",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",2334,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1978,"América Latina","Cono Sur","Argentina",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",1115,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
1979,"América Latina","Cono Sur","Argentina",0,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",1033,"NULL","NULL","NULL","P","2004-07-02 10:00:34.640","NULL",NA
