"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,28,"BOL","Bolivia",1,"Chuquisaca",1,"Belisario Boeto","BO.CQ.BB",NA,"","Provincia","Province","","B. Boeto"
2,28,"BOL","Bolivia",1,"Chuquisaca",2,"Hernando Siles","BO.CQ.HS",NA,"","Provincia","Province","",""
3,28,"BOL","Bolivia",1,"Chuquisaca",3,"Jaime Zudáñez","BO.CQ.ZU",NA,"","Provincia","Province","","Zudáñez"
4,28,"BOL","Bolivia",1,"Chuquisaca",4,"Juana Azurduay de Padilla","BO.CQ.AZ",NA,"","Provincia","Province","","Azurduy"
5,28,"BOL","Bolivia",1,"Chuquisaca",5,"Luis Calvo","BO.CQ.LC",NA,"","Provincia","Province","",""
6,28,"BOL","Bolivia",1,"Chuquisaca",6,"Nor Cinti","BO.CQ.NC",NA,"","Provincia","Province","",""
7,28,"BOL","Bolivia",1,"Chuquisaca",7,"Oropeza","BO.CQ.OR",NA,"","Provincia","Province","",""
8,28,"BOL","Bolivia",1,"Chuquisaca",8,"Sud Cinti","BO.CQ.SC",NA,"","Provincia","Province","",""
9,28,"BOL","Bolivia",1,"Chuquisaca",9,"Tomina","BO.CQ.TM",NA,"","Provincia","Province","",""
10,28,"BOL","Bolivia",1,"Chuquisaca",10,"Yamparáez","BO.CQ.YM",NA,"","Provincia","Province","",""
11,28,"BOL","Bolivia",2,"Cochabamba",11,"Arani","BO.CB.AR",NA,"","Provincia","Province","",""
12,28,"BOL","Bolivia",2,"Cochabamba",12,"Arque","BO.CB.AQ",NA,"","Provincia","Province","",""
13,28,"BOL","Bolivia",2,"Cochabamba",13,"Ayopaya","BO.CB.AY",NA,"","Provincia","Province","",""
14,28,"BOL","Bolivia",2,"Cochabamba",14,"Capinota","BO.CB.CP",NA,"","Provincia","Province","",""
15,28,"BOL","Bolivia",2,"Cochabamba",15,"Carrasco","BO.CB.CR",NA,"","Provincia","Province","","Totora"
16,28,"BOL","Bolivia",2,"Cochabamba",16,"Cercado","BO.CB.CE",NA,"","Provincia","Province","",""
17,28,"BOL","Bolivia",2,"Cochabamba",17,"Chapare","BO.CB.CH",NA,"","Provincia","Province","",""
18,28,"BOL","Bolivia",2,"Cochabamba",18,"Esteban Arce","BO.CB.EA",NA,"","Provincia","Province","","Arce|Tarata"
19,28,"BOL","Bolivia",2,"Cochabamba",19,"Germán Jordán","BO.CB.GJ",NA,"","Provincia","Province","","Jordan|Cliza"
20,28,"BOL","Bolivia",2,"Cochabamba",20,"Mizque","BO.CB.MZ",NA,"","Provincia","Province","",""
21,28,"BOL","Bolivia",2,"Cochabamba",21,"Narciso Campero","BO.CB.CM",NA,"","Provincia","Province","","Campero|Campero"
22,28,"BOL","Bolivia",2,"Cochabamba",22,"Punata","BO.CB.PN",NA,"","Provincia","Province","",""
23,28,"BOL","Bolivia",2,"Cochabamba",23,"Quillacollo","BO.CB.QC",NA,"","Provincia","Province","",""
24,28,"BOL","Bolivia",2,"Cochabamba",24,"Tapacarí","BO.CB.TP",NA,"","Provincia","Province","",""
25,28,"BOL","Bolivia",3,"El Beni",25,"Cercado","BO.EB.CE",NA,"","Provincia","Province","",""
26,28,"BOL","Bolivia",3,"El Beni",26,"José Ballivián","BO.EB.GB",NA,"","Provincia","Province","","General José Ballivian"
27,28,"BOL","Bolivia",3,"El Beni",27,"Mamoré","BO.EB.MM",NA,"","Provincia","Province","",""
28,28,"BOL","Bolivia",3,"El Beni",28,"Marbán","BO.EB.MR",NA,"","Provincia","Province","",""
29,28,"BOL","Bolivia",3,"El Beni",29,"Moxos","BO.EB.MX",NA,"","Provincia","Province","","Mojos"
30,28,"BOL","Bolivia",3,"El Beni",30,"Vaca Díez","BO.EB.VD",NA,"","Provincia","Province","",""
31,28,"BOL","Bolivia",3,"El Beni",31,"Yacuma","BO.EB.YC",NA,"","Provincia","Province","",""
32,28,"BOL","Bolivia",4,"La Paz",32,"Abel Iturralde","BO.LP.AI",NA,"","Provincia","Province","",""
33,28,"BOL","Bolivia",4,"La Paz",33,"Aroma","BO.LP.AR",NA,"","Provincia","Province","",""
34,28,"BOL","Bolivia",4,"La Paz",34,"Bautista Saavedra","BO.LP.BS",NA,"","Provincia","Province","","Saavedra"
35,28,"BOL","Bolivia",4,"La Paz",35,"Eliodoro Camacho","BO.LP.CM",NA,"","Provincia","Province","","Camacho"
36,28,"BOL","Bolivia",4,"La Paz",36,"Franz Tamayo","BO.LP.FT",NA,"","Provincia","Province","",""
37,28,"BOL","Bolivia",4,"La Paz",37,"Gualberto Villarroel","BO.LP.GV",NA,"","Provincia","Province","","G. Villarroel"
38,28,"BOL","Bolivia",4,"La Paz",38,"Ingavi","BO.LP.IG",NA,"","Provincia","Province","",""
39,28,"BOL","Bolivia",4,"La Paz",39,"Inquisivi","BO.LP.IQ",NA,"","Provincia","Province","",""
40,28,"BOL","Bolivia",4,"La Paz",40,"Larecaja","BO.LP.LR",NA,"","Provincia","Province","",""
41,28,"BOL","Bolivia",4,"La Paz",41,"Loayza","BO.LP.LZ",NA,"","Provincia","Province","","Ioayza"
42,28,"BOL","Bolivia",4,"La Paz",42,"Los Andes","BO.LP.LA",NA,"","Provincia","Province","",""
43,28,"BOL","Bolivia",4,"La Paz",43,"Manco Kapac","BO.LP.MK",NA,"","Provincia","Province","",""
44,28,"BOL","Bolivia",4,"La Paz",44,"Muñecas","BO.LP.MN",NA,"","Provincia","Province","",""
45,28,"BOL","Bolivia",4,"La Paz",45,"Nor Yungas","BO.LP.NY",NA,"","Provincia","Province","",""
46,28,"BOL","Bolivia",4,"La Paz",46,"Omasuyos","BO.LP.OM",NA,"","Provincia","Province","",""
47,28,"BOL","Bolivia",4,"La Paz",47,"Pacajes","BO.LP.PC",NA,"","Provincia","Province","",""
48,28,"BOL","Bolivia",4,"La Paz",48,"Pedro Domingo Murillo","BO.LP.MR",NA,"","Provincia","Province","","Murillo"
49,28,"BOL","Bolivia",4,"La Paz",49,"Sud Yungas","BO.LP.SY",NA,"","Provincia","Province","",""
50,28,"BOL","Bolivia",5,"Oruro",50,"Atahuallpa","BO.OR.AT",NA,"","Provincia","Province","",""
51,28,"BOL","Bolivia",5,"Oruro",51,"Carangas","BO.OR.CR",NA,"","Provincia","Province","",""
52,28,"BOL","Bolivia",5,"Oruro",52,"Cercado","BO.OR.CE",NA,"","Provincia","Province","",""
53,28,"BOL","Bolivia",5,"Oruro",53,"Eduardo Avaroa","BO.OR.AV",NA,"","Provincia","Province","","Avaroa"
54,28,"BOL","Bolivia",5,"Oruro",54,"Ladislao Cabrera","BO.OR.LC",NA,"","Provincia","Province","",""
55,28,"BOL","Bolivia",5,"Oruro",55,"Litoral","BO.OR.LT",NA,"","Provincia","Province","",""
56,28,"BOL","Bolivia",5,"Oruro",56,"Pantaleón Dalence","BO.OR.PD",NA,"","Provincia","Province","","Dalence"
57,28,"BOL","Bolivia",5,"Oruro",57,"Poopó","BO.OR.PP",NA,"","Provincia","Province","",""
58,28,"BOL","Bolivia",5,"Oruro",58,"Sajama","BO.OR.SJ",NA,"","Provincia","Province","",""
