"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,53,"COL","Colombia",1,"Amazonas","CO.AM",NA,"","Comisaría","Commissiary","",""
2,53,"COL","Colombia",2,"Antioquia","CO.AN",NA,"","Departamento","Department","",""
3,53,"COL","Colombia",3,"Arauca","CO.AR",NA,"","Intendencia","Intendancy","",""
4,53,"COL","Colombia",4,"Atlántico","CO.AT",NA,"","Departamento","Department","",""
5,53,"COL","Colombia",5,"Bolívar","CO.BL",NA,"","Departamento","Department","",""
6,53,"COL","Colombia",6,"Boyacá","CO.BY",NA,"","Departamento","Department","",""
7,53,"COL","Colombia",7,"Córdoba","CO.CO",NA,"","Departamento","Department","",""
8,53,"COL","Colombia",8,"Caldas","CO.CL",NA,"","Departamento","Department","",""
9,53,"COL","Colombia",9,"Caquetá","CO.CQ",NA,"","Intendencia","Intendancy","",""
10,53,"COL","Colombia",10,"Casanare","CO.CS",NA,"","Intendencia","Intendancy","",""
11,53,"COL","Colombia",11,"Cauca","CO.CA",NA,"","Departamento","Department","",""
12,53,"COL","Colombia",12,"Cesar","CO.CE",NA,"","Departamento","Department","","El Cesar"
13,53,"COL","Colombia",13,"Chocó","CO.CH",NA,"","Departamento","Department","",""
14,53,"COL","Colombia",14,"Cundinamarca","CO.CU",NA,"","Departamento","Department","",""
15,53,"COL","Colombia",15,"Guainía","CO.GN",NA,"","Comisaría","Commissiary","","Guania"
16,53,"COL","Colombia",16,"Guaviare","CO.GV",NA,"","Comisaría","Commissiary","",""
17,53,"COL","Colombia",17,"Huila","CO.HU",NA,"","Departamento","Department","",""
18,53,"COL","Colombia",18,"La Guajira","CO.LG",NA,"","Departamento","Department","","Guajira|Goagira|La Goajira"
19,53,"COL","Colombia",19,"Magdalena","CO.MA",NA,"","Departamento","Department","","La Magdalena"
20,53,"COL","Colombia",20,"Meta","CO.ME",NA,"","Departamento","Department","",""
21,53,"COL","Colombia",21,"Nariño","CO.NA",NA,"","Departamento","Department","",""
22,53,"COL","Colombia",22,"Norte de Santander","CO.NS",NA,"","Departamento","Department","","Santander del Norte"
23,53,"COL","Colombia",23,"Putumayo","CO.PU",NA,"","Intendencia","Intendancy","",""
24,53,"COL","Colombia",24,"Quindío","CO.QD",NA,"","Departamento","Department","",""
25,53,"COL","Colombia",25,"Risaralda","CO.RI",NA,"","Departamento","Department","",""
26,53,"COL","Colombia",26,"San Andrés y Providencia","CO.SA",NA,"","Departamento","Department","","Saint Andrew and Providence"
27,53,"COL","Colombia",27,"Santander","CO.ST",NA,"","Departamento","Department","",""
28,53,"COL","Colombia",28,"Sucre","CO.SU",NA,"","Departamento","Department","",""
29,53,"COL","Colombia",29,"Tolima","CO.TO",NA,"","Departamento","Department","",""
30,53,"COL","Colombia",30,"Valle del Cauca","CO.VC",NA,"","Departamento","Department","","Valle"
31,53,"COL","Colombia",31,"Vaupés","CO.VP",NA,"","Comisaría","Commissiary","",""
32,53,"COL","Colombia",32,"Vichada","CO.VD",NA,"","Comisaría","Commissiary","",""
