"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,53,"COL","Colombia",1,"Amazonas",1,"El Encanto","CO.AM.EE",NA,"","Corregimiento Departamento","Corregimiento Departamento","",""
2,53,"COL","Colombia",1,"Amazonas",2,"La Chorrera","CO.AM.LC",NA,"","Corregimiento Departamento","Corregimiento Departamento","",""
3,53,"COL","Colombia",1,"Amazonas",3,"La Pedrera","CO.AM.LP",NA,"","Corregimiento Departamento","Corregimiento Departamento","",""
4,53,"COL","Colombia",1,"Amazonas",4,"Leticia","CO.AM.LE",NA,"","Municipio","Municipality","",""
5,53,"COL","Colombia",1,"Amazonas",5,"Mirití-Paraná","CO.AM.MI",NA,"","Corregimiento Departamento","Corregimiento Departamento","","Miriti Parana"
6,53,"COL","Colombia",1,"Amazonas",6,"Puerto Nariño","CO.AM.PN",NA,"","Municipio","Municipality","",""
7,53,"COL","Colombia",1,"Amazonas",7,"Puerto Santander","CO.AM.PS",NA,"","Corregimiento Departamento","Corregimiento Departamento","",""
8,53,"COL","Colombia",1,"Amazonas",8,"Tarapacá","CO.AM.TA",NA,"","Corregimiento Departamento","Corregimiento Departamento","",""
9,53,"COL","Colombia",2,"Antioquia",9,"Abejorral","CO.AN.AB",NA,"","Municipio","Municipality","",""
10,53,"COL","Colombia",2,"Antioquia",10,"Abriaquí","CO.AN.AQ",NA,"","Municipio","Municipality","",""
11,53,"COL","Colombia",2,"Antioquia",11,"Alejandría","CO.AN.AJ",NA,"","Municipio","Municipality","",""
12,53,"COL","Colombia",2,"Antioquia",12,"Amagá","CO.AN.AM",NA,"","Municipio","Municipality","",""
13,53,"COL","Colombia",2,"Antioquia",13,"Amalfi","CO.AN.AF",NA,"","Municipio","Municipality","",""
14,53,"COL","Colombia",2,"Antioquia",14,"Andes","CO.AN.AD",NA,"","Municipio","Municipality","",""
15,53,"COL","Colombia",2,"Antioquia",15,"Angelópolis","CO.AN.AL",NA,"","Municipio","Municipality","",""
16,53,"COL","Colombia",2,"Antioquia",16,"Angostura","CO.AN.AS",NA,"","Municipio","Municipality","",""
17,53,"COL","Colombia",2,"Antioquia",17,"Anorí","CO.AN.AN",NA,"","Municipio","Municipality","",""
18,53,"COL","Colombia",2,"Antioquia",18,"Anzá","CO.AN.AZ",NA,"","Municipio","Municipality","",""
19,53,"COL","Colombia",2,"Antioquia",19,"Apartadó","CO.AN.AP",NA,"","Municipio","Municipality","",""
20,53,"COL","Colombia",2,"Antioquia",20,"Arboletes","CO.AN.AR",NA,"","Municipio","Municipality","",""
21,53,"COL","Colombia",2,"Antioquia",21,"Argelia","CO.AN.AG",NA,"","Municipio","Municipality","",""
22,53,"COL","Colombia",2,"Antioquia",22,"Armenia","CO.AN.AA",NA,"","Municipio","Municipality","","Mantequilla"
