"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,94,"GTM","Guatemala",1,"Alta Verapaz","GT.AV",NA,"","Departamento","Department","",""
2,94,"GTM","Guatemala",2,"Baja Verapaz","GT.BV",NA,"","Departamento","Department","",""
3,94,"GTM","Guatemala",3,"Chimaltenango","GT.CM",NA,"","Departamento","Department","",""
4,94,"GTM","Guatemala",4,"Chiquimula","GT.CQ",NA,"","Departamento","Department","",""
5,94,"GTM","Guatemala",5,"El Progreso","GT.PR",NA,"","Departamento","Department","","Guastatoya"
6,94,"GTM","Guatemala",6,"Escuintla","GT.ES",NA,"","Departamento","Department","",""
7,94,"GTM","Guatemala",7,"Guatemala","GT.GU",NA,"","Departamento","Department","",""
8,94,"GTM","Guatemala",8,"Huehuetenango","GT.HU",NA,"","Departamento","Department","",""
9,94,"GTM","Guatemala",9,"Izabal","GT.IZ",NA,"","Departamento","Department","",""
10,94,"GTM","Guatemala",10,"Jalapa","GT.JA",NA,"","Departamento","Department","",""
11,94,"GTM","Guatemala",11,"Jutiapa","GT.JU",NA,"","Departamento","Department","",""
12,94,"GTM","Guatemala",12,"Petén","GT.PE",NA,"","Departamento","Department","",""
13,94,"GTM","Guatemala",13,"Quezaltenango","GT.QZ",NA,"","Departamento","Department","",""
14,94,"GTM","Guatemala",14,"Quiché","GT.QC",NA,"","Departamento","Department","",""
15,94,"GTM","Guatemala",15,"Retalhuleu","GT.RE",NA,"","Departamento","Department","",""
16,94,"GTM","Guatemala",16,"Sacatepéquez","GT.SA",NA,"","Departamento","Department","",""
17,94,"GTM","Guatemala",17,"San Marcos","GT.SM",NA,"","Departamento","Department","",""
18,94,"GTM","Guatemala",18,"Santa Rosa","GT.SR",NA,"","Departamento","Department","",""
19,94,"GTM","Guatemala",19,"Sololá","GT.SO",NA,"","Departamento","Department","",""
20,94,"GTM","Guatemala",20,"Suchitepéquez","GT.SU",NA,"","Departamento","Department","",""
21,94,"GTM","Guatemala",21,"Totonicapán","GT.TO",NA,"","Departamento","Department","",""
22,94,"GTM","Guatemala",22,"Zacapa","GT.ZA",NA,"","Departamento","Department","",""
