"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,94,"GTM","Guatemala",1,"Alta Verapaz",1,"Chahal","",NA,"","Municipio","Municipality","",""
2,94,"GTM","Guatemala",1,"Alta Verapaz",2,"Chisec","",NA,"","Municipio","Municipality","",""
3,94,"GTM","Guatemala",1,"Alta Verapaz",3,"Cobán","",NA,"","Municipio","Municipality","",""
4,94,"GTM","Guatemala",1,"Alta Verapaz",4,"Fray Bartolomé de las Casas","",NA,"","Municipio","Municipality","",""
5,94,"GTM","Guatemala",1,"Alta Verapaz",5,"Lanquín","",NA,"","Municipio","Municipality","",""
6,94,"GTM","Guatemala",1,"Alta Verapaz",6,"Panzós","",NA,"","Municipio","Municipality","",""
7,94,"GTM","Guatemala",1,"Alta Verapaz",7,"San Cristóbal Verapaz","",NA,"","Municipio","Municipality","",""
8,94,"GTM","Guatemala",1,"Alta Verapaz",8,"San Juan Chamelco","",NA,"","Municipio","Municipality","",""
9,94,"GTM","Guatemala",1,"Alta Verapaz",9,"San Pedro Carchá","",NA,"","Municipio","Municipality","",""
10,94,"GTM","Guatemala",1,"Alta Verapaz",10,"Santa Cruz Verapaz","",NA,"","Municipio","Municipality","",""
11,94,"GTM","Guatemala",1,"Alta Verapaz",11,"Santa María Cahabón","",NA,"","Municipio","Municipality","",""
12,94,"GTM","Guatemala",1,"Alta Verapaz",12,"Senahú","",NA,"","Municipio","Municipality","",""
13,94,"GTM","Guatemala",1,"Alta Verapaz",13,"Tactic","",NA,"","Municipio","Municipality","",""
14,94,"GTM","Guatemala",1,"Alta Verapaz",14,"Tamahú","",NA,"","Municipio","Municipality","",""
15,94,"GTM","Guatemala",1,"Alta Verapaz",15,"Tucurú","",NA,"","Municipio","Municipality","",""
16,94,"GTM","Guatemala",2,"Baja Verapaz",16,"Cubulco","",NA,"","Municipio","Municipality","",""
17,94,"GTM","Guatemala",2,"Baja Verapaz",17,"Granados","",NA,"","Municipio","Municipality","",""
18,94,"GTM","Guatemala",2,"Baja Verapaz",18,"Purulhá","",NA,"","Municipio","Municipality","",""
19,94,"GTM","Guatemala",2,"Baja Verapaz",19,"Rabinal","",NA,"","Municipio","Municipality","",""
20,94,"GTM","Guatemala",2,"Baja Verapaz",20,"Salamá","",NA,"","Municipio","Municipality","",""
21,94,"GTM","Guatemala",2,"Baja Verapaz",21,"San Jerónimo","",NA,"","Municipio","Municipality","",""
22,94,"GTM","Guatemala",2,"Baja Verapaz",22,"San Miguel Chicaj","",NA,"","Municipio","Municipality","",""
23,94,"GTM","Guatemala",2,"Baja Verapaz",23,"Santa Cruz El Chol","",NA,"","Municipio","Municipality","",""
24,94,"GTM","Guatemala",3,"Chimaltenango",24,"Acatenango","",NA,"","Municipio","Municipality","",""
25,94,"GTM","Guatemala",3,"Chimaltenango",25,"Chimaltenango","",NA,"","Municipio","Municipality","",""
26,94,"GTM","Guatemala",3,"Chimaltenango",26,"Comalapa","",NA,"","Municipio","Municipality","",""
27,94,"GTM","Guatemala",3,"Chimaltenango",27,"El Tejar","",NA,"","Municipio","Municipality","",""
28,94,"GTM","Guatemala",3,"Chimaltenango",28,"Parramos","",NA,"","Municipio","Municipality","",""
29,94,"GTM","Guatemala",3,"Chimaltenango",29,"Patzún","",NA,"","Municipio","Municipality","",""
30,94,"GTM","Guatemala",3,"Chimaltenango",30,"Patzicía","",NA,"","Municipio","Municipality","",""
31,94,"GTM","Guatemala",3,"Chimaltenango",31,"Pochuta","",NA,"","Municipio","Municipality","",""
32,94,"GTM","Guatemala",3,"Chimaltenango",32,"San Andrés Itzapa","",NA,"","Municipio","Municipality","",""
33,94,"GTM","Guatemala",3,"Chimaltenango",33,"San José Poaquil","",NA,"","Municipio","Municipality","",""
34,94,"GTM","Guatemala",3,"Chimaltenango",34,"San Martín Jilotepeque","",NA,"","Municipio","Municipality","",""
35,94,"GTM","Guatemala",3,"Chimaltenango",35,"Santa Apolonia","",NA,"","Municipio","Municipality","",""
36,94,"GTM","Guatemala",3,"Chimaltenango",36,"Santa Cruz Balanyá","",NA,"","Municipio","Municipality","",""
37,94,"GTM","Guatemala",3,"Chimaltenango",37,"Tecpán Guatemala","",NA,"","Municipio","Municipality","",""
