"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,145,"MEX","Mexico",1,"Aguascalientes","MX.AG",NA,"","Estado","State","",""
2,145,"MEX","Mexico",2,"Baja California Sur","MX.BS",NA,"","Estado","State","",""
3,145,"MEX","Mexico",3,"Baja California","MX.BN",NA,"","Estado","State","",""
4,145,"MEX","Mexico",4,"Campeche","MX.CM",NA,"","Estado","State","",""
5,145,"MEX","Mexico",5,"Chiapas","MX.CP",NA,"","Estado","State","",""
6,145,"MEX","Mexico",6,"Chihuahua","MX.CH",NA,"","Estado","State","",""
7,145,"MEX","Mexico",7,"Coahuila","MX.CA",NA,"","Estado","State","",""
8,145,"MEX","Mexico",8,"Colima","MX.CL",NA,"","Estado","State","",""
9,145,"MEX","Mexico",9,"Distrito Federal","MX.DF",NA,"","Distrito Federal","Federal District","",""
10,145,"MEX","Mexico",10,"Durango","MX.DU",NA,"","Estado","State","",""
11,145,"MEX","Mexico",11,"Guanajuato","MX.GJ",NA,"","Estado","State","",""
12,145,"MEX","Mexico",12,"Guerrero","MX.GR",NA,"","Estado","State","",""
13,145,"MEX","Mexico",13,"Hidalgo","MX.HI",NA,"","Estado","State","",""
14,145,"MEX","Mexico",14,"Jalisco","MX.JA",NA,"","Estado","State","",""
15,145,"MEX","Mexico",15,"México","MX.MX",NA,"","Estado","State","",""
16,145,"MEX","Mexico",16,"Michoacán","MX.MC",NA,"","Estado","State","",""
17,145,"MEX","Mexico",17,"Morelos","MX.MR",NA,"","Estado","State","",""
18,145,"MEX","Mexico",18,"Nayarit","MX.NA",NA,"","Estado","State","",""
19,145,"MEX","Mexico",19,"Nuevo León","MX.NL",NA,"","Estado","State","",""
20,145,"MEX","Mexico",20,"Oaxaca","MX.OA",NA,"","Estado","State","",""
21,145,"MEX","Mexico",21,"Puebla","MX.PU",NA,"","Estado","State","",""
22,145,"MEX","Mexico",22,"Querétaro","MX.QE",NA,"","Estado","State","",""
23,145,"MEX","Mexico",23,"Quintana Roo","MX.QR",NA,"","Estado","State","",""
24,145,"MEX","Mexico",24,"San Luis Potosí","MX.SL",NA,"","Estado","State","",""
25,145,"MEX","Mexico",25,"Sinaloa","MX.SI",NA,"","Estado","State","",""
26,145,"MEX","Mexico",26,"Sonora","MX.SO",NA,"","Estado","State","",""
27,145,"MEX","Mexico",27,"Tabasco","MX.TB",NA,"","Estado","State","",""
28,145,"MEX","Mexico",28,"Tamaulipas","MX.TM",NA,"","Estado","State","",""
29,145,"MEX","Mexico",29,"Tlaxcala","MX.TL",NA,"","Estado","State","",""
30,145,"MEX","Mexico",30,"Veracruz","MX.VE",NA,"","Estado","State","",""
31,145,"MEX","Mexico",31,"Yucatán","MX.YU",NA,"","Estado","State","",""
32,145,"MEX","Mexico",32,"Zacatecas","MX.ZA",NA,"","Estado","State","",""
