"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,145,"MEX","Mexico",1,"Aguascalientes",1,"Aguascalientes","MX.AG.AG",NA,"","Municipio","Municipality","",""
2,145,"MEX","Mexico",1,"Aguascalientes",2,"Asientos","MX.AG.AS",NA,"","Municipio","Municipality","",""
3,145,"MEX","Mexico",1,"Aguascalientes",3,"Calvillo","MX.AG.CA",NA,"","Municipio","Municipality","",""
4,145,"MEX","Mexico",1,"Aguascalientes",4,"Cosío","MX.AG.CO",NA,"","Municipio","Municipality","","Cosio"
5,145,"MEX","Mexico",1,"Aguascalientes",5,"Jesús María","MX.AG.JM",NA,"","Municipio","Municipality","","Jesus Maria"
6,145,"MEX","Mexico",1,"Aguascalientes",6,"Pabellón de Arteaga","MX.AG.PA",NA,"","Municipio","Municipality","","Pabellon de Arteaga"
7,145,"MEX","Mexico",1,"Aguascalientes",7,"Rincón de Romos","MX.AG.RR",NA,"","Municipio","Municipality","","Rincon de Romos"
8,145,"MEX","Mexico",1,"Aguascalientes",8,"San José de Gracia","MX.AG.SG",NA,"","Municipio","Municipality","","San Jose de Garcia"
9,145,"MEX","Mexico",1,"Aguascalientes",9,"Tepezalá","MX.AG.TE",NA,"","Municipio","Municipality","","Tepezala"
10,145,"MEX","Mexico",2,"Baja California Sur",10,"Comondú","MX.BS.CO",NA,"","Municipio","Municipality","","Comondu"
11,145,"MEX","Mexico",2,"Baja California Sur",11,"La Paz","MX.BS.PA",NA,"","Municipio","Municipality","",""
12,145,"MEX","Mexico",2,"Baja California Sur",12,"Mulegé","MX.BS.MU",NA,"","Municipio","Municipality","","Mulege"
13,145,"MEX","Mexico",3,"Baja California",13,"Ensenada","MX.BN.EN",NA,"","Municipio","Municipality","",""
14,145,"MEX","Mexico",3,"Baja California",14,"Mexicali","MX.BN.ME",NA,"","Municipio","Municipality","",""
15,145,"MEX","Mexico",3,"Baja California",15,"Mulegé","MX.BS.MU",NA,"","Municipio","Municipality","","Mulege"
16,145,"MEX","Mexico",3,"Baja California",16,"Tecate","MX.BN.TE",NA,"","Municipio","Municipality","",""
17,145,"MEX","Mexico",3,"Baja California",17,"Tijuana","MX.BN.TI",NA,"","Municipio","Municipality","",""
18,145,"MEX","Mexico",4,"Campeche",18,"Calkiní","MX.CM.CL",NA,"","Municipio","Municipality","","Calkini"
19,145,"MEX","Mexico",4,"Campeche",19,"Campeche","MX.CM.CM",NA,"","Municipio","Municipality","",""
20,145,"MEX","Mexico",4,"Campeche",20,"Carmen","MX.CM.CR",NA,"","Municipio","Municipality","",""
21,145,"MEX","Mexico",4,"Campeche",21,"Champotón","MX.CM.CH",NA,"","Municipio","Municipality","","Champoton"
22,145,"MEX","Mexico",4,"Campeche",22,"Hecelchakán","MX.CM.HE",NA,"","Municipio","Municipality","","Hecelchakan"
23,145,"MEX","Mexico",4,"Campeche",23,"Hopelchén","MX.CM.HO",NA,"","Municipio","Municipality","","Hopelchen"
24,145,"MEX","Mexico",4,"Campeche",24,"Palizada","MX.CM.PA",NA,"","Municipio","Municipality","",""
25,145,"MEX","Mexico",4,"Campeche",25,"Tenabo","MX.CM.TE",NA,"","Municipio","Municipality","",""
26,145,"MEX","Mexico",5,"Chiapas",26,"Acacoyagua","MX.CP.AY",NA,"","Municipio","Municipality","","Acacoyahua"
27,145,"MEX","Mexico",5,"Chiapas",27,"Acala","MX.CP.AC",NA,"","Municipio","Municipality","",""
28,145,"MEX","Mexico",5,"Chiapas",28,"Acapetahua","MX.CP.AP",NA,"","Municipio","Municipality","",""
29,145,"MEX","Mexico",5,"Chiapas",29,"Altamirano","MX.CP.AL",NA,"","Municipio","Municipality","",""
30,145,"MEX","Mexico",5,"Chiapas",30,"Amatán","MX.CP.AM",NA,"","Municipio","Municipality","","Amatan"
31,145,"MEX","Mexico",5,"Chiapas",31,"Amatenango de la Frontera","MX.CP.AF",NA,"","Municipio","Municipality","",""
32,145,"MEX","Mexico",5,"Chiapas",32,"Amatenango del Valle","MX.CP.AV",NA,"","Municipio","Municipality","",""
33,145,"MEX","Mexico",5,"Chiapas",33,"Angel Albino Corzo","MX.CP.AA",NA,"","Municipio","Municipality","",""
34,145,"MEX","Mexico",5,"Chiapas",34,"Arriaga","MX.CP.AR",NA,"","Municipio","Municipality","",""
35,145,"MEX","Mexico",5,"Chiapas",35,"Bejucal de Ocampo","MX.CP.BO",NA,"","Municipio","Municipality","",""
36,145,"MEX","Mexico",5,"Chiapas",36,"Bella Vista","MX.CP.BV",NA,"","Municipio","Municipality","",""
37,145,"MEX","Mexico",5,"Chiapas",37,"Berriozábal","MX.CP.BE",NA,"","Municipio","Municipality","","Berriozabal"
38,145,"MEX","Mexico",5,"Chiapas",38,"Bochil","MX.CP.BC",NA,"","Municipio","Municipality","",""
39,145,"MEX","Mexico",5,"Chiapas",39,"Cacahoatán","MX.CP.CT",NA,"","Municipio","Municipality","",""
