"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,178,"PER","Peru",1,"Amazonas","PE.AM",NA,"01","Región","Region","",""
2,178,"PER","Peru",2,"Ancash","PE.AN",NA,"02","Región","Region","","Ancachs"
3,178,"PER","Peru",3,"Apurímac","PE.AP",NA,"03","Región","Region","","Apuromac"
4,178,"PER","Peru",4,"Arequipa","PE.AR",NA,"04","Región","Region","",""
5,178,"PER","Peru",5,"Ayacucho","PE.AY",NA,"05","Región","Region","",""
6,178,"PER","Peru",6,"Cajamarca","PE.CJ",NA,"06","Región","Region","","Caxamarca"
7,178,"PER","Peru",7,"Callao","PE.CL",NA,"07","Provincia","Province","","El Callao"
8,178,"PER","Peru",8,"Cusco","PE.CS",NA,"08","Región","Region","","Cuzco|Qosqo"
9,178,"PER","Peru",9,"Huánuco","PE.HC",NA,"10","Región","Region","","Huknuco"
10,178,"PER","Peru",10,"Huancavelica","PE.HV",NA,"09","Región","Region","",""
11,178,"PER","Peru",11,"Ica","PE.IC",NA,"11","Región","Region","",""
12,178,"PER","Peru",12,"Junín","PE.JU",NA,"12","Región","Region","","Junnn"
13,178,"PER","Peru",13,"La Libertad","PE.LL",NA,"13","Región","Region","","Libertad"
14,178,"PER","Peru",14,"Lambayeque","PE.LB",NA,"14","Región","Region","",""
15,178,"PER","Peru",15,"Lima Province","PE.LP",NA,"15","Provincia","Province","",""
16,178,"PER","Peru",16,"Lima","PE.LR",NA,"15","Región","Region","",""
17,178,"PER","Peru",17,"Loreto","PE.LO",NA,"16","Región","Region","",""
18,178,"PER","Peru",18,"Madre de Dios","PE.MD",NA,"17","Región","Region","",""
19,178,"PER","Peru",19,"Moquegua","PE.MQ",NA,"18","Región","Region","",""
20,178,"PER","Peru",20,"Pasco","PE.PA",NA,"19","Región","Region","",""
21,178,"PER","Peru",21,"Piura","PE.PI",NA,"20","Región","Region","",""
22,178,"PER","Peru",22,"Puno","PE.PU",NA,"21","Región","Region","",""
23,178,"PER","Peru",23,"San Martín","PE.SM",NA,"22","Región","Region","","San Mart"
24,178,"PER","Peru",24,"Tacna","PE.TA",NA,"23","Región","Region","",""
25,178,"PER","Peru",25,"Tumbes","PE.TU",NA,"24","Región","Region","","Tumbez"
26,178,"PER","Peru",26,"Ucayali","PE.UC",NA,"25","Región","Region","",""
