"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,178,"PER","Peru",1,"Amazonas",1,"Bagua",1,"Aramango",NA,"","Distrito","District","",""
2,178,"PER","Peru",1,"Amazonas",1,"Bagua",2,"Copallin",NA,"","Distrito","District","",""
3,178,"PER","Peru",1,"Amazonas",1,"Bagua",3,"El Parco",NA,"","Distrito","District","",""
4,178,"PER","Peru",1,"Amazonas",1,"Bagua",4,"Imaza",NA,"","Distrito","District","",""
5,178,"PER","Peru",1,"Amazonas",1,"Bagua",5,"La Peca",NA,"","Distrito","District","",""
6,178,"PER","Peru",1,"Amazonas",2,"Bongará",6,"Chisquilla",NA,"","Distrito","District","",""
7,178,"PER","Peru",1,"Amazonas",2,"Bongará",7,"Churuja",NA,"","Distrito","District","",""
8,178,"PER","Peru",1,"Amazonas",2,"Bongará",8,"Corosha",NA,"","Distrito","District","",""
9,178,"PER","Peru",1,"Amazonas",2,"Bongará",9,"Cuispes",NA,"","Distrito","District","",""
10,178,"PER","Peru",1,"Amazonas",2,"Bongará",10,"Florida",NA,"","Distrito","District","",""
11,178,"PER","Peru",1,"Amazonas",2,"Bongará",11,"Jazan",NA,"","Distrito","District","",""
12,178,"PER","Peru",1,"Amazonas",2,"Bongará",12,"Jumbilla",NA,"","Distrito","District","",""
13,178,"PER","Peru",1,"Amazonas",2,"Bongará",13,"Recta",NA,"","Distrito","District","",""
14,178,"PER","Peru",1,"Amazonas",2,"Bongará",14,"San Carlos",NA,"","Distrito","District","",""
15,178,"PER","Peru",1,"Amazonas",2,"Bongará",15,"Shipasbamba",NA,"","Distrito","District","",""
16,178,"PER","Peru",1,"Amazonas",2,"Bongará",16,"Valera",NA,"","Distrito","District","",""
17,178,"PER","Peru",1,"Amazonas",2,"Bongará",17,"Yambrasbamba",NA,"","Distrito","District","",""
18,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",18,"Asuncion",NA,"","Distrito","District","",""
19,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",19,"Balsas",NA,"","Distrito","District","",""
20,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",20,"Chachapoyas",NA,"","Distrito","District","",""
21,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",21,"Cheto",NA,"","Distrito","District","",""
22,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",22,"Chiliquin",NA,"","Distrito","District","",""
23,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",23,"Chuquibamba",NA,"","Distrito","District","",""
24,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",24,"Granada",NA,"","Distrito","District","",""
25,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",25,"Huancas",NA,"","Distrito","District","",""
26,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",26,"La Jalca",NA,"","Distrito","District","",""
27,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",27,"Leimebamba",NA,"","Distrito","District","",""
28,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",28,"Levanto",NA,"","Distrito","District","",""
29,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",29,"Magdalena",NA,"","Distrito","District","",""
30,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",30,"Mariscal Castilla",NA,"","Distrito","District","",""
31,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",31,"Molinopampa",NA,"","Distrito","District","",""
32,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",32,"Montevideo",NA,"","Distrito","District","",""
33,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",33,"Olleros",NA,"","Distrito","District","",""
34,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",34,"Quinjalca",NA,"","Distrito","District","",""
35,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",35,"San Francisco de Daguas",NA,"","Distrito","District","",""
36,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",36,"San Isidro de Maino",NA,"","Distrito","District","",""
37,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas",37,"Soloco",NA,"","Distrito","District","",""
