"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,177,"PRY","Paraguay",1,"Ñeembucú","PY.NE",NA,"","Departamento","Department","",""
2,177,"PRY","Paraguay",2,"Alto Paraguay","PY.AG",NA,"","Departamento","Department","",""
3,177,"PRY","Paraguay",3,"Alto Paraná","PY.AA",NA,"","Departamento","Department","",""
4,177,"PRY","Paraguay",4,"Amambay","PY.AM",NA,"","Departamento","Department","",""
5,177,"PRY","Paraguay",5,"Asunción","PY.AS",NA,"","Distrito Capital","Capital District","",""
6,177,"PRY","Paraguay",6,"Boquerón","PY.BQ",NA,"","Departamento","Department","",""
7,177,"PRY","Paraguay",7,"Caaguazú","PY.CG",NA,"","Departamento","Department","",""
8,177,"PRY","Paraguay",8,"Caazapá","PY.CZ",NA,"","Departamento","Department","",""
9,177,"PRY","Paraguay",9,"Canindeyú","PY.CY",NA,"","Departamento","Department","",""
10,177,"PRY","Paraguay",10,"Central","PY.CE",NA,"","Departamento","Department","",""
11,177,"PRY","Paraguay",11,"Concepción","PY.CN",NA,"","Departamento","Department","",""
12,177,"PRY","Paraguay",12,"Cordillera","PY.CR",NA,"","Departamento","Department","",""
13,177,"PRY","Paraguay",13,"Guairá","PY.GU",NA,"","Departamento","Department","",""
14,177,"PRY","Paraguay",14,"Itapúa","PY.IT",NA,"","Departamento","Department","",""
15,177,"PRY","Paraguay",15,"Misiones","PY.MI",NA,"","Departamento","Department","",""
16,177,"PRY","Paraguay",16,"Paraguarí","PY.PG",NA,"","Departamento","Department","",""
17,177,"PRY","Paraguay",17,"Presidente Hayes","PY.PH",NA,"","Departamento","Department","",""
18,177,"PRY","Paraguay",18,"San Pedro","PY.SP",NA,"","Departamento","Department","",""
