"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,177,"PRY","Paraguay",1,"Ñeembucú",1,"Alberdi","PY.NE.AL",NA,"","Distrito","District","",""
2,177,"PRY","Paraguay",1,"Ñeembucú",2,"Cerrito","PY.NE.CE",NA,"","Distrito","District","",""
3,177,"PRY","Paraguay",1,"Ñeembucú",3,"Desmochados","PY.NE.DE",NA,"","Distrito","District","",""
4,177,"PRY","Paraguay",1,"Ñeembucú",4,"General José Eduvigis Díaz","PY.NE.GD",NA,"","Distrito","District","",""
5,177,"PRY","Paraguay",1,"Ñeembucú",5,"Guazú Cuá","PY.NE.GC",NA,"","Distrito","District","",""
6,177,"PRY","Paraguay",1,"Ñeembucú",6,"Humaitá","PY.NE.HU",NA,"","Distrito","District","",""
7,177,"PRY","Paraguay",1,"Ñeembucú",7,"Isla Umbú","PY.NE.IU",NA,"","Distrito","District","",""
8,177,"PRY","Paraguay",1,"Ñeembucú",8,"Laureles","PY.NE.LA",NA,"","Distrito","District","",""
9,177,"PRY","Paraguay",1,"Ñeembucú",9,"Mayor José J. Martinez","PY.NE.MM",NA,"","Distrito","District","",""
10,177,"PRY","Paraguay",1,"Ñeembucú",10,"Paso de Patria","PY.NE.PP",NA,"","Distrito","District","",""
11,177,"PRY","Paraguay",1,"Ñeembucú",11,"Pilar","PY.NE.PI",NA,"","Distrito","District","",""
12,177,"PRY","Paraguay",1,"Ñeembucú",12,"San Juan Bautista del Ñeembucu","PY.NE.SN",NA,"","Distrito","District","",""
13,177,"PRY","Paraguay",1,"Ñeembucú",13,"Tacuaras","PY.NE.TA",NA,"","Distrito","District","",""
14,177,"PRY","Paraguay",1,"Ñeembucú",14,"Villa Franca","PY.NE.VF",NA,"","Distrito","District","",""
15,177,"PRY","Paraguay",1,"Ñeembucú",15,"Villa Oliva","PY.NE.VO",NA,"","Distrito","District","",""
16,177,"PRY","Paraguay",1,"Ñeembucú",16,"Villalbín","PY.NE.VI",NA,"","Distrito","District","",""
17,177,"PRY","Paraguay",2,"Alto Paraguay",17,"Fuerte Olimpo","PY.AG.FO",NA,"","Distrito","District","",""
18,177,"PRY","Paraguay",2,"Alto Paraguay",18,"La Victoria","PY.AG.LV",NA,"","Distrito","District","","Puerto Casado"
19,177,"PRY","Paraguay",2,"Alto Paraguay",19,"Mayor Pablo Lagerenza","PY.AG.ML",NA,"","Distrito","District","",""
20,177,"PRY","Paraguay",3,"Alto Paraná",20,"Ñacunday","PY.AA.NC",NA,"","Distrito","District","",""
21,177,"PRY","Paraguay",3,"Alto Paraná",21,"Ciudad del Este","PY.AA.CE",NA,"","Distrito","District","",""
22,177,"PRY","Paraguay",3,"Alto Paraná",22,"Doctor Juan León Mallorquín","PY.AA.DM",NA,"","Distrito","District","",""
23,177,"PRY","Paraguay",3,"Alto Paraná",23,"Domingo Martínez de Irala","",NA,"","Distrito","District","",""
24,177,"PRY","Paraguay",3,"Alto Paraná",24,"Hernandarias","",NA,"","Distrito","District","",""
25,177,"PRY","Paraguay",3,"Alto Paraná",25,"Itakyry","PY.AA.IT",NA,"","Distrito","District","","Itaquyry|Ytakyry"
26,177,"PRY","Paraguay",3,"Alto Paraná",26,"Juan Emilio O'Leary","PY.AA.JO",NA,"","Distrito","District","",""
27,177,"PRY","Paraguay",3,"Alto Paraná",27,"Los Cedrales","",NA,"","Distrito","District","",""
28,177,"PRY","Paraguay",3,"Alto Paraná",28,"Mbaracayú","PY.AA.MB",NA,"","Distrito","District","",""
29,177,"PRY","Paraguay",3,"Alto Paraná",29,"Minga Guazú","PY.AA.MG",NA,"","Distrito","District","",""
30,177,"PRY","Paraguay",3,"Alto Paraná",30,"Minga Porá","PY.AA.MP",NA,"","Distrito","District","",""
31,177,"PRY","Paraguay",3,"Alto Paraná",31,"Naranjal","PY.AA.NR",NA,"","Distrito","District","",""
32,177,"PRY","Paraguay",3,"Alto Paraná",32,"Presidente Franco","",NA,"","Distrito","District","",""
33,177,"PRY","Paraguay",3,"Alto Paraná",33,"San Alberto","PY.AA.SA",NA,"","Distrito","District","",""
34,177,"PRY","Paraguay",3,"Alto Paraná",34,"San Cristóbal","PY.AA.SC",NA,"","Distrito","District","",""
35,177,"PRY","Paraguay",3,"Alto Paraná",35,"Santa Rita","PY.AA.SR",NA,"","Distrito","District","",""
36,177,"PRY","Paraguay",3,"Alto Paraná",36,"Santa Rosa del Monday","PY.AA.SM",NA,"","Distrito","District","",""
37,177,"PRY","Paraguay",3,"Alto Paraná",37,"Yguazú","PY.AA.YG",NA,"","Distrito","District","",""
38,177,"PRY","Paraguay",4,"Amambay",38,"Bella Vista","PY.AM.BV",NA,"","Distrito","District","",""
