NUM,CODE,Country,Continent,Cluster,Human Population 2010,Human Development Index,RISK (endemic/ rabies-free),Dog vaccination coverage,"Bite Incidence (/100,000)",Deaths,Exposures,Dog vaccination,Dog population
54,ATG,Antigua and Barbuda,Americas,Caribbean,"87,689",0.764,0,55.10%,238.62055,0,0,"7,414",13454.94007
55,ARG,Argentina,Americas,Southern Cone,"40,666,000",0.797,1,20.66%,93.1663,3,"18,090","1,470,274",7116550.034
56,BHS,Bahamas,Americas,Caribbean,"345,000",0.771,0,55.10%,238.62055,0,0,"29,168",52936.5636
57,BRB,Barbados,Americas,Caribbean,"256,000",0.793,0,55.10%,238.62055,0,0,"21,644",39280.46458
58,BLZ,Belize,Americas,Central America & Mexico,"314,000",0.699,0,68.00%,163.2197,0,0,"16,251",23897.84149
59,BOL,Bolivia,Americas,Andean,"10,028,000",0.663,1,77.66%,340.357,1,"1,444","3,309,563",4261375
60,BRA,Brazil,Americas,Brazil,"195,424,000",0.718,1,68.85%,219.3609,16,"34,255","16,620,087",24139559.69
61,CAN,Canada,Americas,NorthAmerica,"33,891,000",0.908,0,70.00%,0.001,NA,NA,"4,082,951",5832787.146
62,CHL,Chile,Americas,Southern Cone,"17,134,000",0.805,0,64.80%,202.5225,0,0,"1,847,394",2850917.283
63,COL,Colombia,Americas,Andean,"46,299,000",0.71,1,73.21%,77.4045,1,"2,146","3,626,077",4952859.625
64,CRI,Costa Rica,Americas,Central America & Mexico,"4,641,000",0.744,0,22.00%,163.2197,0,0,"228,570",1038954.553
65,CUB,Cuba,Americas,Caribbean,"11,204,000",0.776,1,64.64%,251.3886,1,"2,867","1,189,466",1839999.999
66,DMA,Dominica,Americas,Caribbean,"69,625",0.724,0,55.10%,238.62055,0,0,"5,886",10683.21229
67,DOM,Dominican Republic,Americas,Caribbean,"10,225,000",0.689,1,26.70%,225.8525,7,"9,478","358,917",1344447.068
68,ECU,Ecuador,Americas,Andean,"13,772,000",0.72,1,78.48%,61.6487,0,335,"2,027,876",2584016.498
69,SLV,El Salvador,Americas,Central America & Mexico,"6,193,000",0.674,1,65.70%,547.0083,3,"3,254","1,651,045",2513006.399
70,GRD,Grenada,Americas,Caribbean,"102,000",0.748,0,55.10%,238.62055,0,0,"8,624",15650.81011
71,GTM,Guatemala,Americas,Central America & Mexico,"14,376,000",0.574,1,63.00%,69.6298,4,"1,112","2,377,681",3774096.658
72,GUY,Guyana,Americas,Central America & Mexico,"763,000",0.633,1,68.00%,45.22,0,29,"39,488",58070.23266
73,HTI,Haiti,Americas,Caribbean,"10,188,000",0.454,1,31.41%,238.62055,130,"8,787","581,671",1851896.266
74,HND,Honduras,Americas,Central America & Mexico,"7,619,000",0.625,1,82.48%,70.466,0,143,"1,370,831",1662097.291
75,JAM,Jamaica,Americas,Caribbean,"2,732,000",0.727,0,55.10%,238.62055,0,0,"230,977",419196.208
76,MEX,Mexico,Americas,Central America & Mexico,"110,647,000",0.77,1,76.50%,70.992,1,"3,662","24,593,387",32148218.25
77,NIC,Nicaragua,Americas,Central America & Mexico,"5,821,000",0.589,0,87.30%,176.0021,0,0,"975,000",1116838.484
78,PAN,Panama,Americas,Central America & Mexico,"3,507,000",0.768,0,6.67%,163.2197,0,0,"28,600",429000.0013
79,PRY,Paraguay,Americas,Southern Cone,"6,459,000",0.665,0,83.70%,196.6719,0,0,"1,029,000",1229390.686
80,PER,Peru,Americas,Andean,"29,496,000",0.725,1,32.74%,158.8898,7,"16,318","907,354",2771599.99
81,KNA,Saint Kitts and Nevis,Americas,Caribbean,"51,672",0.735,0,55.10%,238.62055,0,0,"4,369",7928.516273
82,LCA,Saint Lucia,Americas,Caribbean,"172,000",0.723,0,55.10%,238.62055,0,0,"14,542",26391.56214
83,VCT,Saint Vincent and the Grenadines,Americas,Caribbean,"106,000",0.717,0,55.10%,238.62055,0,0,"8,962",16264.56737
84,SUR,Suriname,Americas,Central America & Mexico,"527,000",0.68,1,68.00%,163.2197,0,72,"27,274",40108.79766
85,TTO,Trinidad and Tobago,Americas,Caribbean,"1,344,000",0.76,0,55.10%,238.62055,0,0,"113,629",206222.4391
86,USA,United States of America,Americas,NorthAmerica,"317,640,000",0.91,0,76.73%,0.001,0,0,"30,000,000",39100000.11
87,URY,Uruguay,Americas,Southern Cone,"3,373,000",0.783,0,64.80%,75.2849,0,0,"363,678",561231.7028
88,VEN,Venezuela (Bolivarian Republic of),Americas,Andean,"29,044,000",0.735,1,20.57%,148.9899,8,"20,707","882,625",4291071.282
